Section,Misc,Player
Section 2,Q,S Hunter
Section 2,,Xin Wang
Section 2,Q,S Kenin
Section 2,7,C Gauff
Section 3,4,J Pegula
Section 3,,L Davis
Section 3,,C Bucșa
Section 3,,K Rakhimova
Section 3,,C Osorio
Section 3,,E Cocciaretto
Section 3,,R Masarova
Section 3,31,M Sherif
Section 3,24,Q Zheng
Section 3,,K Siniaková
Section 3,,L Tsurenko
Section 3,,C Liu
Section 3,,A Parks
Section 3,,A-L Friedsam
Section 3,,A Bogdan
Section 3,15,L Samsonova
Section 4,12,V Kudermetova
Section 4,,K Kanepi
Section 4,,M Vondroušová
Section 4,,P Stearns
Section 4,,S Stephens
Section 4,,R Peterson
Section 4,,S Zhang
Section 4,20,D Vekić
Section 4,32,M Bouzková
Section 4,Q,S Waltert
Section 4,,A Kontaveit
Section 4,Q,L Stefanini
Section 4,,K Baindl
Section 4,,L Fernandez
Section 4,,K Volynets
Section 4,5,C Garcia
Section 5,6,O Jabeur
Section 5,,M Fręch
Section 5,,Y Bonaventure
Section 5,Q,Z Bai
Section 5,,A Bondár
Section 5,,B Andreescu
Section 5,Q,J Bouzas Maneiro
Section 5,26,A Kalinina
Section 5,18,Ka Plíšková
Section 5,Q,N Stevanović
Section 5,Q,C Zhao
Section 5,LL,T Korpatsch
Section 5,,A Sasnovich
Section 5,,N Párrizas Díaz
Section 5,,J Paolini
Section 5,9,P Kvitová
Section 6,13,B Haddad Maia
Section 6,,Y Putintseva
Section 6,PR,J Cristian
Section 6,,L Bronzetti
Section 6,,S Cîrstea
Section 6,,T Maria
Section 6,Q,G Minnen
Section 6,17,J Ostapenko
Section 6,27,B Pera
Section 6,,V Tomova
Section 6,WC,K Boulter
Section 6,PR,D Saville
Section 6,LL,N Hibino
Section 6,,A Cornet
Section 6,,S Rogers
Section 6,3,E Rybakina
Section 7,8,M Sakkari
Section 7,,M Kostyuk
Section 7,,A Riske-Amritraj
Section 7,,P Badosa
Section 7,Q,V Golubic
Section 7,,AK Schmiedlová
Section 7,WC,S Kartal
Section 7,25,M Keys
Section 7,22,A Potapova
Section 7,Q,C Naef
Section 7,Q,K Juvan
Section 7,PR,M Betova
Section 7,Q,M Andreeva
Section 7,,Xiy Wang
Section 7,WC,H Watson
Section 7,10,B Krejčíková
Section 8,16,K Muchová
Section 8,,J Niemeier
Section 8,,L Nosková
Section 8,,D Gálfi
Section 8,,M Brengle
Section 8,,S Errani
Section 8,,E Navarro
Section 8,21,E Alexandrova
Section 8,29,I-C Begu
Section 8,,R Marino
Section 8,Q,Y Wickmayer
Section 8,,A Blinkova
Section 8,,V Gracheva
Section 8,,C Giorgi
Section 8,,P Udvardy
Section 8,2,A Sabalenka
Section 1,1,I Świątek
Section 1,,R Peterson
Section 1,WC,C Ngounoue
Section 1,PR,D Saville
Section 1,,L Davis
Section 1,,D Kovinić
Section 1,Q,K Juvan
Section 1,29,E Cocciaretto
Section 1,20,J Ostapenko
Section 1,,J Paolini
Section 1,,A Cornet
Section 1,,E Avanesyan
Section 1,LL,V Hrunčáková
Section 1,,Xiy Wang
Section 1,,B Pera
Section 1,16,V Kudermetova
Section 2,11,P Kvitová
Section 2,,C Bucșa
Section 2,Q,T Prozorova
Section 2,WC,C Wozniacki
Section 2,LL,K Birrell
Section 2,PR,J Brady
Section 2,,A Sasnovich
Section 2,24,M Linette
Section 2,32,E Mertens
Section 2,Q,M Björklund
Section 2,,D Collins
Section 2,,L Fruhvirtová
Section 2,Q,O Gadecki
Section 2,,M Andreeva
Section 2,Q,L Siegemund
Section 2,6,C Gauff
Section 3,4,E Rybakina
Section 3,,M Kostyuk
Section 3,,P Udvardy
Section 3,,A Tomljanović
Section 3,,A Kalinskaya
Section 3,,K Siniaková
Section 3,WC,K Day
Section 3,30,S Cîrstea
Section 3,18,V Azarenka
Section 3,WC,F Ferro
Section 3,,L Zhu
Section 3,,M Sherif
Section 3,Q,Y Miyazaki
Section 3,PR,M Betova
Section 3,,K Rakhimova
Section 3,15,B Bencic
Section 4,10,K Muchová
Section 4,WC,S Hunter
Section 4,,M Fręch
Section 4,,E Navarro
Section 4,,V Gracheva
Section 4,,T Townsend
Section 4,,S Stephens
Section 4,19,B Haddad Maia
Section 4,28,A Kalinina
Section 4,,S Sorribes Tormo
Section 4,Q,K Volynets
Section 4,,Xin Wang
Section 4,,AK Schmiedlová
Section 4,,K Baindl
Section 4,,R Masarova
Section 4,8,M Sakkari
Section 5,7,C Garcia
Section 5,Q,Y Wang
Section 5,,K Boulter
Section 5,,D Parry
Section 5,,P Stearns
Section 5,,V Tomova
Section 5,,C Tauson
Section 5,27,A Potapova
Section 5,22,E Alexandrova
Section 5,,L Fernandez
Section 5,Q,E Jacquemot
Section 5,,L Tsurenko
Section 5,,M Trevisan
Section 5,,Y Putintseva
Section 5,Q,N-l Han
Section 5,9,M Vondroušová
Section 6,14,L Samsonova
Section 6,,C Liu
Section 6,,I-C Begu
Section 6,,T Korpatsch
Section 6,LL,Y Wickmayer
Section 6,Q,V Zvonareva
Section 6,,A Rus
Section 6,17,M Keys
Section 6,26,E Svitolina
Section 6,,A-L Friedsam
Section 6,,A Pavlyuchenkova
Section 6,Q,F Crawley
Section 6,PR,PM Țig
Section 6,,R Marino
Section 6,,C Giorgi
Section 6,3,J Pegula
Section 7,5,O Jabeur
Section 7,,C Osorio
Section 7,,L Nosková
Section 7,,M Brengle
Section 7,,T Maria
Section 7,,P Martić
Section 7,WC,A Krueger
Section 7,31,M Bouzková
Section 7,23,Q Zheng
Section 7,,N Podoroska
Section 7,PR,B Strýcová
Section 7,,K Kanepi
Section 7,WC,R Montgomery
Section 7,Q,E Lys
Section 7,,L Bronzetti
Section 7,12,B Krejčíková
Section 8,13,D Kasatkina
Section 8,,A Parks
Section 8,,A Bogdan
Section 8,,S Kenin
Section 8,Q,G Minnen
Section 8,WC,V Williams
Section 8,Q,S Vickery
Section 8,21,D Vekić
Section 8,25,Ka Plíšková
Section 8,Q,E-G Ruse
Section 8,,C Dolehide
Section 8,,C Burel
Section 8,,A Blinkova
Section 8,,J Burrage
Section 8,,M Zanevska
Section 8,2,A Sabalenka
